loss: tf.Tensor([2.990651], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0308373], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310166], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0129583], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310092], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310159], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0232675], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.030892], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([2.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0309997], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
loss: tf.Tensor([3.0310163], shape=(1,), dtype=float32)
